noga_slug,nace_slug,noga_level,nace_level,noga_code,nace_code,noga_uri,nace_uri,section,noga_label_en,noga_label_de,noga_label_fr,noga_label_it,nace_label_en,nace_label_bg,nace_label_cs,nace_label_da,nace_label_de,nace_label_el,nace_label_es,nace_label_et,nace_label_fi,nace_label_fr,nace_label_hr,nace_label_hu,nace_label_it,nace_label_lt,nace_label_lv,nace_label_mt,nace_label_nl,nace_label_no,nace_label_pl,nace_label_pt,nace_label_ro,nace_label_ru,nace_label_sk,nace_label_sl,nace_label_sv,nace_label_tr
noga-g-46,nace-46-73,division,class,46,46.73,https://register.ld.admin.ch/i14y/concept/nogaCode/46,http://data.europa.eu/ux2/nace2/4673,G,"Wholesale trade, except of motor vehicles and motorcycles",Großhandel (ohne Handel mit Kraftfahrzeugen und Krafträdern),"Commerce de gros, à l’exception des automobiles et des motocycles","Commercio all'ingrosso, escluso quello di autoveicoli e di motocicli","Wholesale of wood, construction materials and sanitary equipment","Търговия на едро с дървен материал, материали за строителството и санитарно оборудване","Velkoobchod se dřevem, stavebními materiály a sanitárním vybavením",Engroshandel med træ og byggematerialer samt sanitetsartikler,"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik","Χονδρικό εμπόριο ξυλείας, οικοδομικών υλικών και ειδών υγιεινής","Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios",Puidu ja ehitusmaterjalide ja sanitaarseadmete hulgimüük,"Puun, rakennusmateriaalien ja saniteettilaitteiden tukkukauppa","Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires","Trgovina na veliko drvom, građevinskim materijalom i sanitarnom opremom","Fa-, építőanyag-, szaniteráru-nagykereskedelem","Commercio all'ingrosso di legname, materiali da costruzione e apparecchi igienico-sanitari","Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba","Kokmateriālu, būvmateriālu un sanitārtehnikas ierīču vairumtirdzniecība","Bejgħ bl-ingrossa ta' injam, materjal għall-kostruzzjoni u tagħmir sanitarju","Groothandel in hout, bouwmaterialen en sanitair","Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr","Sprzedaż hurtowa drewna, materiałów budowlanych i wyposażenia sanitarnego","Comércio por grosso de madeira, de materiais de construção e de equipamento sanitário",Comerţ cu ridicata al materialului lemnos şi a materialelor de construcţie şi echipamentelor sanitare,"Оптовая торговля лесоматериалами, строительными материалами и сантехническим оборудованием","Veľkoobchod s drevom, stavebným materiálom a sanitárnymi zariadeniami","Trgovina na debelo z lesom, gradbenim materialom in sanitarno opremo","Partihandel med virke, andra byggmaterial och sanitetsgods","Ağaç, inşaat malzemesi ve sıhhi teçhizat toptan ticareti"
noga-g-46,nace-46-74,division,class,46,46.74,https://register.ld.admin.ch/i14y/concept/nogaCode/46,http://data.europa.eu/ux2/nace2/4674,G,"Wholesale trade, except of motor vehicles and motorcycles",Großhandel (ohne Handel mit Kraftfahrzeugen und Krafträdern),"Commerce de gros, à l’exception des automobiles et des motocycles","Commercio all'ingrosso, escluso quello di autoveicoli e di motocicli","Wholesale of hardware, plumbing and heating equipment and supplies",Търговия на едро с железария и арматурни изделия,Velkoobchod se železářským zbožím a instalatérskými a topenářskými potřebami,"Engroshandel med isenkram, varmeanlæg og tilbehør","Großhandel mit Metall- und Kunststoffwaren für Bauzwecke sowie Installationsbedarf für Gas, Wasser und Heizung","Χονδρικό εμπόριο σιδηρικών, υδραυλικών ειδών και εξοπλισμού και προμηθειών για εγκαταστάσεις θέρμανσης","Comercio al por mayor de ferretería, fontanería y calefacción","Rauakaupade, veevarustus- ja kütteseadmete ning nende koosteosade hulgimüük","Rautakauppatavaroiden, LVI-laitteiden ja -tarvikkeiden tukkukauppa",Commerce de gros de quincaillerie et fournitures pour plomberie et chauffage,"Trgovina na veliko željeznom robom, instalacijskim materijalom i opremom za vodovod i grijanje","Fémáru-, szerelvény, fűtési berendezés nagykereskedelme","Commercio all'ingrosso di ferramenta, di apparecchi e accessori per impianti idraulici e di riscaldamento","Metalinių dirbinių, vandentiekio ir šildymo įrangos bei reikmenų didmeninė prekyba","Metālizstrādājumu cauruļu, apkures iekārtu un to piederumu vairumtirdzniecība",Bejgħ bl-ingrossa ta' ferramenta u tagħmir u provvisti għall-plaming u t-tisħin,Groothandel in ijzerwaren en in installatiemateriaal voor loodgieterswerk en verwarming,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",Sprzedaż hurtowa wyrobów metalowych oraz sprzętu i dodatkowego wyposażenia hydraulicznego i grzejnego,"Comércio por grosso de ferragens, ferramentas manuais e artigos para canalizações e aquecimento",Comerţ cu ridicata al echipamentelor şi furniturilor de fierărie pentru instalaţii sanitare şi de încălzire,"Оптовая торговля металлическими изделиями, водопроводным и отопительным оборудованием и инвентарем",Veľkoobchod so železiarskym a inštalatérskym tovarom a vykurovacími zariadeniami a potrebami,"Trgovina na debelo s kovinskimi proizvodi, inštalacijskim materialom, napravami za ogrevanje",Partihandel med järnhandelsvaror och VVS-armatur,"Hırdavat, sıhhi tesisat ve ısıtma tesisatı malzemelerinin toptan ticareti"
noga-g-46,nace-46-75,division,class,46,46.75,https://register.ld.admin.ch/i14y/concept/nogaCode/46,http://data.europa.eu/ux2/nace2/4675,G,"Wholesale trade, except of motor vehicles and motorcycles",Großhandel (ohne Handel mit Kraftfahrzeugen und Krafträdern),"Commerce de gros, à l’exception des automobiles et des motocycles","Commercio all'ingrosso, escluso quello di autoveicoli e di motocicli",Wholesale of chemical products,Търговия на едро с химични вещества и продукти,Velkoobchod s chemickými výrobky,Engroshandel med kemiske produkter,Großhandel mit chemischen Erzeugnissen,Χονδρικό εμπόριο χημικών προϊόντων,Comercio al por mayor de productos químicos,Keemiatoodete hulgimüük,"Peruskemikaalien, lannoitteiden yms. tukkukauppa",Commerce de gros de produits chimiques,Trgovina na veliko kemijskim proizvodima,Vegyi áru nagykereskedelme,Commercio all'ingrosso di prodotti chimici,Chemijos produktų didmeninė prekyba,Ķīmisko vielu vairumtirdzniecība,Bejgħ bl-ingrossa ta' prodotti kimiċi,Groothandel in chemische producten,Engroshandel med kjemiske produkter,Sprzedaż hurtowa wyrobów chemicznych,Comércio por grosso de produtos químicos,Comerţ cu ridicata al produselor chimice,Оптовая торговля химической продукцией,Veľkoobchod s chemickými výrobkami,Trgovina na debelo s kemičnimi izdelki,Partihandel med kemiska produkter,Kimyasal ürünlerin toptan ticareti
noga-g-46,nace-46-76,division,class,46,46.76,https://register.ld.admin.ch/i14y/concept/nogaCode/46,http://data.europa.eu/ux2/nace2/4676,G,"Wholesale trade, except of motor vehicles and motorcycles",Großhandel (ohne Handel mit Kraftfahrzeugen und Krafträdern),"Commerce de gros, à l’exception des automobiles et des motocycles","Commercio all'ingrosso, escluso quello di autoveicoli e di motocicli",Wholesale of other intermediate products,Специализирана търговия на едро с други междинни продукти,Velkoobchod s ostatními meziprodukty,Engroshandel med andre råvarer og halvfabrikata,Großhandel mit sonstigen Halbwaren,Χονδρικό εμπόριο άλλων ενδιάμεσων προϊόντων,Comercio al por mayor de otros productos semielaborados,Muude vahetoodete hulgimüük,Muiden välituotteiden tukkukauppa,Commerce de gros d'autres produits intermédiaires,Trgovina na veliko ostalim poluproizvodima,Egyéb termelési célú termék nagykereskedelme,Commercio all'ingrosso di altri prodotti intermedi,Kitų tarpinių produktų didmeninė prekyba,Starpproduktu vairumtirdzniecība,Bejgħ bl-ingrossa ta' prodotti oħra intermedji,Groothandel in andere intermediaire producten,Engroshandel med innsatsvarer ellers,Sprzedaż hurtowa pozostałych półproduktów,Comércio por grosso de outros bens intermédios,Comerţ cu ridicata al altor produse intermediare,Оптовая торговля прочими промежуточными продуктами,Veľkoobchod s ostatnými medziproduktmi,Trgovina na debelo z drugimi polizdelki,Partihandel med andra insatsvaror,Diğer ara ürünlerin toptan ticareti
noga-g-46,nace-46-77,division,class,46,46.77,https://register.ld.admin.ch/i14y/concept/nogaCode/46,http://data.europa.eu/ux2/nace2/4677,G,"Wholesale trade, except of motor vehicles and motorcycles",Großhandel (ohne Handel mit Kraftfahrzeugen und Krafträdern),"Commerce de gros, à l’exception des automobiles et des motocycles","Commercio all'ingrosso, escluso quello di autoveicoli e di motocicli",Wholesale of waste and scrap,Търговия на едро с отпадъци и скрап,Velkoobchod s odpadem a šrotem,Engroshandel med affaldsprodukter,Großhandel mit Altmaterialien und Reststoffen,Χονδρικό εμπόριο απορριμμάτων και υπολειμμάτων,Comercio al por mayor de chatarra y productos de desecho,Jäätmete ja jääkide hulgikaubandus,Jätteen ja romun tukkukauppa,Commerce de gros de déchets et débris,Trgovina na veliko ostacima i otpacima,Hulladék-nagykereskedelem,Commercio all'ingrosso di rottami e cascami,Atliekų ir laužo didmeninė prekyba,Atkritumu un lūžņu vairumtirdzniecība,Bejgħ bl-ingrossa ta' skart u ruttam,Groothandel in afval en schroot,Engroshandel med avfall og skrap,Sprzedaż hurtowa odpadów i złomu,Comércio por grosso de desperdícios e sucata,Comerţ cu ridicata al deşeurilor şi resturilor,Оптовая торговля отходами и ломом,Veľkoobchod s odpadom a šrotom,Trgovina na debelo z ostanki in odpadki,Partihandel med avfallsprodukter och skrot,Atık ve hurda toptan ticareti
noga-g-46,nace-46-90,division,class,46,46.90,https://register.ld.admin.ch/i14y/concept/nogaCode/46,http://data.europa.eu/ux2/nace2/4690,G,"Wholesale trade, except of motor vehicles and motorcycles",Großhandel (ohne Handel mit Kraftfahrzeugen und Krafträdern),"Commerce de gros, à l’exception des automobiles et des motocycles","Commercio all'ingrosso, escluso quello di autoveicoli e di motocicli",Non-specialised wholesale trade,Неспециализирана търговия на едро,Nespecializovaný velkoobchod,Ikke-specialiceret engroshandel,Großhandel ohne ausgeprägten Schwerpunkt,Μη ειδικευμένο χονδρικό εμπόριο,Comercio al por mayor no especializado,Spetsialiseerimata hulgikaubandus,Muu tukkukauppa,Commerce de gros non spécialisé,Nespecijalizirana trgovina na veliko,Vegyestermékkörű nagykereskedelem,Commercio all'ingrosso non specializzato,Nespecializuota didmeninė prekyba,Nespecializētā vairumtirdzniecība,Negozju bl-ingrossa mhux speċjalizzat,Niet-gespecialiseerde groothandel,Uspesifisert engroshandel,Sprzedaż hurtowa niewyspecjalizowana,Comércio por grosso não especializado,Comerţ cu ridicata nespecializat,Неспециализированная оптовая торговля,Nešpecializovaný veľkoobchod,Nespecializirana trgovina na debelo,Övrig partihandel,Belirli bir mala tahsis edilmemiş mağazalardaki toptan ticaret
noga-g-47,nace-47-11,division,class,47,47.11,https://register.ld.admin.ch/i14y/concept/nogaCode/47,http://data.europa.eu/ux2/nace2/4711,G,"Retail trade, except of motor vehicles and motorcycles",Einzelhandel (ohne Handel mit Kraftfahrzeugen),"Commerce de détail, à l’exception des automobiles et des motocycles","Commercio al dettaglio, escluso quello di autoveicoli e di motocicli","Retail sale in non-specialised stores with food, beverages or tobacco predominating","Търговия на дребно в неспециализирани магазини предимно с хранителни стоки, напитки и тютюневи изделия","Maloobchod s převahou potravin, nápojů a tabákových výrobků v nespecializovaných prodejnách","Detailhandel fra ikke-specialiserede forretninger med hovedvægten på føde-, drikke- og tobaksvarer","Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel, Getränke und Tabakwaren","Λιανικό εμπόριο σε μη ειδικευμένα καταστήματα που πωλούν κυρίως τρόφιμα, ποτά ή καπνό","Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco","Jaemüük spetsialiseerimata kauplustes, kus on ülekaalus toidukaubad, joogid ja tubakatooted","Elintarvikkeiden, juomien ja tupakan erikoistumaton vähittäiskauppa",Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Trgovina na malo u nespecijaliziranim prodavaonicama pretežno hranom, pićima i duhanskim proizvodima",Élelmiszer jellegű bolti vegyes kiskereskedelem,"Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari, bevande o tabacco","Mažmeninė prekyba nespecializuotose parduotuvėse, kuriose vyrauja maistas, gėrimai ir tabakas","Mazumtirdzniecība nespecializētajos veikalos, kuros galvenokārt pārdod pārtikas preces, dzērienus vai tabaku","Bejgħ bl-imnut minn ħwienet mhux speċjalizzati fejn jiddomina ikel, xorb jew tabakk",Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,"Sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach z przewagą żywności, napojów i wyrobów tytoniowych","Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Comerţ cu amănuntul în magazine nespecializate, cu vânzare predominantă de produse alimentare, băuturi şi tutun","Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, включая напитки, и табачными изделиями","Maloobchod v nešpecializovaných predajniach najmä s potravinami, nápojmi alebo tabakom","Trgovina na drobno v nespecializiranih prodajalnah, pretežno z živili","Detaljhandel med brett sortiment, mest livsmedel, drycker och tobak","Belirli bir mala tahsis edilmemiş mağazalarda gıda, içecek veya tütün ağırlıklı perakende ticaret"
noga-g-47,nace-47-19,division,class,47,47.19,https://register.ld.admin.ch/i14y/concept/nogaCode/47,http://data.europa.eu/ux2/nace2/4719,G,"Retail trade, except of motor vehicles and motorcycles",Einzelhandel (ohne Handel mit Kraftfahrzeugen),"Commerce de détail, à l’exception des automobiles et des motocycles","Commercio al dettaglio, escluso quello di autoveicoli e di motocicli",Other retail sale in non-specialised stores,Търговия на дребно в неспециализирани магазини с разнообразни стоки,Ostatní maloobchod v nespecializovaných prodejnách,Anden detailhandel fra ikke-specialiserede forretninger,Sonstiger Einzelhandel mit Waren verschiedener Art,Άλλο λιανικό εμπόριο σε μη ειδικευμένα καταστήματα,Otro comercio al por menor en establecimientos no especializados,Muu jaemüük spetsialiseerimata kauplustes,Muu vähittäiskauppa erikoistumattomissa myymälöissä,Autre commerce de détail en magasin non spécialisé,Ostala trgovina na malo u nespecijaliziranim prodavaonicama,Iparcikk jellegű bolti vegyes kiskereskedelem,Commercio al dettaglio in altri esercizi non specializzati,Kita mažmeninė prekyba nespecializuotose parduotuvėse,Pārējā mazumtirdzniecība nespecializētajos veikalos,Bejgħ ieħor bl-imnut minn ħwienet mhux speċjalizzati,Overige detailhandel in niet-gespecialiseerde winkels,Butikkhandel med bredt vareutvalg ellers,Sprzedaż detaliczna pozostała prowadzona w niewyspecjalizowanych sklepach,Comércio a retalho de outros produtos em estabelecimentos não especializados,"Comerţ cu amănuntul în magazine nespecializate, cu vânzare predominantă de produse nealimentare",Прочая розничная торговля в неспециализированных магазинах,Ostatný maloobchod v nešpecializovaných predajniach,Druga trgovina na drobno v nespecializiranih prodajalnah,Annan detaljhandel med brett sortiment,Belirli bir mala tahsis edilmemiş mağazalarda yapılan diğer perakende ticaret
noga-g-47,nace-47-21,division,class,47,47.21,https://register.ld.admin.ch/i14y/concept/nogaCode/47,http://data.europa.eu/ux2/nace2/4721,G,"Retail trade, except of motor vehicles and motorcycles",Einzelhandel (ohne Handel mit Kraftfahrzeugen),"Commerce de détail, à l’exception des automobiles et des motocycles","Commercio al dettaglio, escluso quello di autoveicoli e di motocicli",Retail sale of fruit and vegetables in specialised stores,Търговия на дребно с плодове и зеленчуци,Maloobchod s ovocem a zeleninou ve specializovaných prodejnách,Frugt og grøntforretninger,"Einzelhandel mit Obst, Gemüse und Kartoffeln",Λιανικό εμπόριο φρούτων και λαχανικών σε ειδικευμένα καταστήματα,Comercio al por menor de frutas y hortalizas en establecimientos especializados,Puu- ja köögivilja jaemüük spetsialiseeritud kauplustes,"Hedelmien, marjojen ja vihannesten vähittäiskauppa",Commerce de détail de fruits et légumes en magasin spécialisé,Trgovina na malo voćem i povrćem u specijaliziranim prodavaonicama,"Zöldség-, gyümölcs kiskereskedelme",Commercio al dettaglio di frutta e verdura in esercizi specializzati,"Vaisių, uogų ir daržovių mažmeninė prekyba specializuotose parduotuvėse",Augļu un dārzeņu mazumtirdzniecība specializētajos veikalos,Bejgħ bl-imnut ta' frott u ħxejjex,Detailhandel in groenten en fruit in gespecialiseerde winkels,Butikkhandel med frukt og grønnsaker,Sprzedaż detaliczna owoców i warzyw prowadzona w wyspecjalizowanych sklepach,"Comércio a retalho de frutas e produtos hortícolas, em estabelecimentos especializados","Comerţ cu amănuntul al fructelor şi legumelor proaspete, în magazine specializate",Розничная торговля фруктами и овощами в специализированных магазинах,Maloobchod s ovocím a zeleninou v špecializovaných predajniach,Trgovina na drobno v specializiranih prodajalnah s sadjem in zelenjavo,Specialiserad butikshandel med frukt och grönsaker,Belirli bir mala tahsis edilmiş mağazalardaki meyve ve sebze perakende ticareti
noga-g-47,nace-47-22,division,class,47,47.22,https://register.ld.admin.ch/i14y/concept/nogaCode/47,http://data.europa.eu/ux2/nace2/4722,G,"Retail trade, except of motor vehicles and motorcycles",Einzelhandel (ohne Handel mit Kraftfahrzeugen),"Commerce de détail, à l’exception des automobiles et des motocycles","Commercio al dettaglio, escluso quello di autoveicoli e di motocicli",Retail sale of meat and meat products in specialised stores,Търговия на дребно с месо и месни продукти,Maloobchod s masem a masnými výrobky ve specializovaných prodejnách,Slagter og viktualieforretninger,Einzelhandel mit Fleisch und Fleischwaren,Λιανικό εμπόριο κρέατος και προϊόντων κρέατος σε ειδικευμένα καταστήματα,Comercio al por menor de carne y productos cárnicos en establecimientos especializados,Liha ja lihatoodete jaemüük spetsialiseeritud kauplustes,Lihan ja lihatuotteiden vähittäiskauppa,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé,Trgovina na malo mesom i mesnim proizvodima u specijaliziranim prodavaonicama,"Hús-, húsáru kiskereskedelme",Commercio al dettaglio di carni e di prodotti a base di carne in esercizi specializzati,Mėsos ir mėsos produktų mažmeninė prekyba specializuotose parduotuvėse,Gaļas un gaļas produktu mazumtirdzniecība specializētajos veikalos,Bejgħ bl-imnut ta' laħam u prodotti tal-laħam,Detailhandel in vlees en vleesproducten in gespecialiseerde winkels,Butikkhandel med kjøtt og kjøttvarer,Sprzedaż detaliczna mięsa i wyrobów z mięsa prowadzona w wyspecjalizowanych sklepach,"Comércio a retalho de carne e produtos à base de carne, em estabelecimentos especializados","Comerţ cu amănuntul al cărnii şi al produselor din carne, în magazine specializate",Розничная торговля мясом и мясными продуктами в специализированных магазинах,Maloobchod s mäsom a mäsovými výrobkami v špecializovaných predajniach,Trgovina na drobno v specializiranih prodajalnah z mesom in mesnimi izdelki,Specialiserad butikshandel med kött och charkuterier,Belirli bir mala tahsis edilmiş mağazalardaki et ve et ürünlerinin perakende ticareti
noga-g-47,nace-47-23,division,class,47,47.23,https://register.ld.admin.ch/i14y/concept/nogaCode/47,http://data.europa.eu/ux2/nace2/4723,G,"Retail trade, except of motor vehicles and motorcycles",Einzelhandel (ohne Handel mit Kraftfahrzeugen),"Commerce de détail, à l’exception des automobiles et des motocycles","Commercio al dettaglio, escluso quello di autoveicoli e di motocicli","Retail sale of fish, crustaceans and molluscs in specialised stores",Търговия на дребно с риба и други морски храни,"Maloobchod s rybami, korýši a měkkýši ve specializovaných prodejnách",Fiskeforretninger,"Einzelhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen","Λιανικό εμπόριο ψαριών, καρκινοειδών και μαλακίων σε ειδικευμένα καταστήματα",Comercio al por menor de pescados y mariscos en establecimientos especializados,"Kala, vähilaadsete ja limuste jaemüük spetsialiseeritud kauplustes","Kalan, äyriäisten ja nilviäisten vähittäiskauppa","Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé","Trgovina na malo ribama, rakovima i školjkama u
specijaliziranim prodavaonicama",Hal kiskereskedelme,"Commercio al dettaglio di pesci, crostacei e molluschi in esercizi specializzati","Žuvų, vėžiagyvių ir moliuskų mažmeninė prekyba specializuotose parduotuvėse","Zivju, vēžveidīgo un mīkstmiešu mazumtirdzniecība specializētajos veikalos","Bejgħ bl-imnut ta' ħut, krustaċi u molluski",Detailhandel in vis en schaal- en weekdieren in gespecialiseerde winkels,"Butikkhandel med fisk, skalldyr og bløtdyr","Sprzedaż detaliczna ryb, skorupiaków i mięczaków prowadzona w wyspecjalizowanych sklepach","Comércio a retalho de peixe, crustáceos e moluscos, em estabelecimentos especializados","Comerţ cu amănuntul al peştelui, crustaceelor şi moluştelor, în magazine specializate","Розничная торговля рыбой, ракообразными и моллюсками в специализированных магазинах","Maloobchod s rybami, kôrovcami a mäkkýšmi v špecializovaných predajniach","Trgovina na drobno v specializiranih prodajalnah z ribami, raki, mehkužci","Specialiserad butikshandel med fisk, skal- och blötdjur","Belirli bir mala tahsis edilmiş mağazalardaki balık, kabuklu hayvanlar ve yumuşakçaların perakende ticareti"
noga-g-47,nace-47-24,division,class,47,47.24,https://register.ld.admin.ch/i14y/concept/nogaCode/47,http://data.europa.eu/ux2/nace2/4724,G,"Retail trade, except of motor vehicles and motorcycles",Einzelhandel (ohne Handel mit Kraftfahrzeugen),"Commerce de détail, à l’exception des automobiles et des motocycles","Commercio al dettaglio, escluso quello di autoveicoli e di motocicli","Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores","Търговия на дребно с хляб, хлебни, захарни и сладкарски изделия","Maloobchod s chlebem, pečivem, cukrářskými výrobky a cukrovinkami ve specializovaných prodejnách","Detailhandel med brød, konditori- og sukkervarer i specialforretninger",Einzelhandel mit Back- und Süßwaren,"Λιανικό εμπόριο ψωμιού, αρτοσκευασμάτων και λοιπών ειδών αρτοποιίας και ζαχαροπλαστικής σε ειδικευμένα καταστήματα","Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados","Leivatoodete, kookide, jahu- ja suhkrukondiitritoodete jaemüük spetsialiseeritud kauplustes",Leipomotuotteiden ja makeisten vähittäiskauppa,"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé","Trgovina na malo kruhom, pecivom, kolačima, tjesteninama, bombonima i slatkišima u specijaliziranim prodavaonicama","Kenyér-, pékáru-, édesség-kiskereskedelem","Commercio al dettaglio di pane, pasticceria e dolciumi in esercizi specializzati","Duonos, bandelių, konditerijos gaminių ir cukraus saldumynų mažmeninė prekyba specializuotose parduotuvėse","Maizes, kūku, miltu konditorejas un cukuroto konditorejas izstrādājumu mazumtirdzniecība specializētajos veikalos","Bejgħ bl-imnut ta' ħobż, pasti, ħlewwiet tad-dqiq u dolċerija","Detailhandel in brood, banketbakkerswerk en suikerwerk in gespecialiseerde winkels","Butikkhandel med bakervarer, konditorvarer og sukkervarer","Sprzedaż detaliczna pieczywa, ciast, wyrobów ciastkarskich i cukierniczych prowadzona w wyspecjalizowanych sklepach","Comércio a retalho de pão, de produtos de pastelaria e de confeitaria, em estabelecimentos especializados","Comerţ cu amănuntul al pâinii, produselor de patiserie şi produselor zaharoase, în magazine specializate","Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах","Maloobchod s chlebom, pečivom, cukrárskymi výrobkami v špecializovaných predajniach","Trgovina na drobno v specializiranih prodajalnah s kruhom, pecivom, testeninami, sladkornimi izdelki","Specialiserad butikshandel med bröd, konditorivaror och konfektyrer","Belirli bir mala tahsis edilmiş mağazalardaki ekmek, pastalar, unlu mamuller ve şekerli ürünlerin perakende ticareti"
noga-g-47,nace-47-25,division,class,47,47.25,https://register.ld.admin.ch/i14y/concept/nogaCode/47,http://data.europa.eu/ux2/nace2/4725,G,"Retail trade, except of motor vehicles and motorcycles",Einzelhandel (ohne Handel mit Kraftfahrzeugen),"Commerce de détail, à l’exception des automobiles et des motocycles","Commercio al dettaglio, escluso quello di autoveicoli e di motocicli",Retail sale of beverages in specialised stores,Търговия на дребно с напитки,Maloobchod s nápoji ve specializovaných prodejnách,Detailhandel med drikkevarer,Einzelhandel mit Getränken,Λιανικό εμπόριο ποτών σε ειδικευμένα καταστήματα,Comercio al por menor de bebidas en establecimientos especializados,Jookide jaemüük spetsialiseeritud kauplustes,Alkoholi- ja muiden juomien vähittäiskauppa,Commerce de détail de boissons en magasin spécialisé,Trgovina na malo pićima u specijaliziranim prodavaonicama,Ital-kiskereskedelem,Commercio al dettaglio di bevande in esercizi specializzati,Gėrimų mažmeninė prekyba specializuotose parduotuvėse,Alkoholisko un citu dzērienu mazumtirdzniecība specializētajos veikalos,Bejgħ bl-imnut ta' xorb,Detailhandel in dranken in gespecialiseerde winkels,Butikkhandel med drikkevarer,Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych prowadzona w wyspecjalizowanych sklepach,"Comércio a retalho de bebidas, em estabelecimentos especializados","Comerţ cu amănuntul al băuturilor, în magazine specializate",Розничная торговля напитками в специализированных магазинах,Maloobchod s nápojmi v špecializovaných predajniach,Trgovina na drobno v specializiranih prodajalnah s pijačami,Specialiserad butikshandel med alkoholhaltiga och andra drycker,Belirli bir mala tahsis edilmiş mağazalardaki içeceklerin perakende ticareti
noga-g-47,nace-47-26,division,class,47,47.26,https://register.ld.admin.ch/i14y/concept/nogaCode/47,http://data.europa.eu/ux2/nace2/4726,G,"Retail trade, except of motor vehicles and motorcycles",Einzelhandel (ohne Handel mit Kraftfahrzeugen),"Commerce de détail, à l’exception des automobiles et des motocycles","Commercio al dettaglio, escluso quello di autoveicoli e di motocicli",Retail sale of tobacco products in specialised stores,Търговия на дребно с тютюневи изделия,Maloobchod s tabákovými výrobky ve specializovaných prodejnách,Tobaksforretninger,Einzelhandel mit Tabakwaren,Λιανικό εμπόριο προϊόντων καπνού σε ειδικευμένα καταστήματα,Comercio al por menor de productos de tabaco en establecimientos especializados,Tubakatoodete jaemüük spetsialiseeritud kauplustes,Tupakkatuotteiden vähittäiskauppa,Commerce de détail de produits à base de tabac en magasin spécialisé,Trgovina na malo duhanskim proizvodima u specijaliziranim prodavaonicama,Dohányáru-kiskereskedelem,Commercio al dettaglio di prodotti del tabacco in esercizi specializzati,Tabako gaminių mažmeninė prekyba specializuotose parduotuvėse,Tabakas izstrādājumu mazumtirdzniecība specializētajos veikalos,Bejgħ bl-imnut ta' prodotti tat-tabakk,Detailhandel in tabaksproducten in gespecialiseerde winkels,Butikkhandel med tobakksvarer,Sprzedaż detaliczna wyrobów tytoniowych prowadzona w wyspecjalizowanych sklepach,"Comércio a retalho de tabaco, em estabelecimentos especializados","Comerţ cu amănuntul al produselor din tutun, în magazine specializate",Розничная торговля табачными изделиями в специализированных магазинах,Maloobchod s tabakovými výrobkami v špecializovaných predajniach,Trgovina na drobno v specializiranih prodajalnah s tobačnimi izdelki,Specialiserad butikshandel med tobaksvaror,Belirli bir mala tahsis edilmiş mağazalardaki tütün ürünlerinin perakende ticareti
